inning,over,total_runs,player_dismissed,innings_wickets,innings_score,score_target,remaining_target,run_rate,required_run_rate,runrate_diff,is_batting_team,is_toss_winner,team1,team2
1,1,6,0,0,6,-1,-1,6.0,-1.0,-1.0,1,0,MI,SRH
1,2,9,0,0,15,-1,-1,7.5,-1.0,-1.0,1,0,MI,SRH
1,4,5,0,0,33,-1,-1,8.25,-1.0,-1.0,1,0,MI,SRH
1,5,9,1,1,42,-1,-1,8.4,-1.0,-1.0,1,0,MI,SRH
1,6,11,0,1,53,-1,-1,8.833333333333334,-1.0,-1.0,1,0,MI,SRH
1,7,3,0,1,56,-1,-1,8.0,-1.0,-1.0,1,0,MI,SRH
1,8,4,0,1,60,-1,-1,7.5,-1.0,-1.0,1,0,MI,SRH
1,9,9,0,1,69,-1,-1,7.666666666666667,-1.0,-1.0,1,0,MI,SRH
1,10,11,0,1,80,-1,-1,8.0,-1.0,-1.0,1,0,MI,SRH
1,11,7,0,1,87,-1,-1,7.909090909090909,-1.0,-1.0,1,0,MI,SRH
1,12,8,2,3,95,-1,-1,7.916666666666667,-1.0,-1.0,1,0,MI,SRH
1,13,8,0,3,103,-1,-1,7.923076923076923,-1.0,-1.0,1,0,MI,SRH
1,14,6,0,3,109,-1,-1,7.785714285714286,-1.0,-1.0,1,0,MI,SRH
1,15,21,0,3,130,-1,-1,8.666666666666666,-1.0,-1.0,1,0,MI,SRH
1,16,14,0,3,144,-1,-1,9.0,-1.0,-1.0,1,0,MI,SRH
1,17,8,1,4,152,-1,-1,8.941176470588236,-1.0,-1.0,1,0,MI,SRH
1,18,20,0,4,172,193,21,9.555555555555555,10.5,-0.9444444444444446,0,0,MI,SRH
1,19,6,0,4,178,193,15,9.36842105263158,15.0,-5.631578947368421,0,0,MI,SRH
1,20,14,1,5,192,193,1,9.6,99.0,-89.4,0,0,MI,SRH
2,1,6,0,0,6,193,187,6.0,9.842105263157896,-3.842105263157896,0,0,MI,SRH
2,2,7,1,1,13,193,180,6.5,10.0,-3.5,0,0,MI,SRH
2,3,9,0,1,22,193,171,7.333333333333333,10.058823529411764,-2.7254901960784315,0,0,MI,SRH
2,4,4,1,2,26,193,167,6.5,10.4375,-3.9375,0,0,MI,SRH
2,5,9,0,2,35,193,158,7.0,10.533333333333331,-3.533333333333333,0,0,MI,SRH
2,6,7,0,2,42,193,151,7.0,10.785714285714286,-3.785714285714288,0,0,MI,SRH
2,7,12,0,2,54,193,139,7.714285714285714,10.692307692307692,-2.978021978021977,0,0,MI,SRH
2,8,10,0,2,64,193,129,8.0,10.75,-2.75,0,0,MI,SRH
2,9,8,1,3,72,193,121,8.0,11.0,-3.0,0,0,MI,SRH
2,10,4,1,4,76,193,117,7.6,11.7,-4.1,0,0,MI,SRH
2,11,12,0,4,88,193,105,8.0,11.666666666666666,-3.666666666666666,0,0,MI,SRH
2,12,8,0,4,96,193,97,8.0,12.125,-4.125,0,0,MI,SRH
2,13,10,0,4,106,193,87,8.153846153846153,12.428571428571429,-4.274725274725276,0,0,MI,SRH
2,14,21,1,5,127,193,66,9.071428571428571,11.0,-1.9285714285714288,0,0,MI,SRH
2,15,6,1,6,133,193,60,8.866666666666667,12.0,-3.133333333333333,0,0,MI,SRH
2,16,10,0,6,143,193,50,8.9375,12.5,-3.5625,0,0,MI,SRH
2,17,7,1,7,150,193,43,8.823529411764707,14.333333333333334,-5.509803921568627,0,0,MI,SRH
2,18,19,1,8,169,193,24,9.38888888888889,12.0,-2.6111111111111107,0,0,MI,SRH
