inning,over,total_runs,player_dismissed,innings_wickets,innings_score,score_target,remaining_target,run_rate,required_run_rate,runrate_diff,is_batting_team,is_toss_winner,team1,team2
1,1,2,1,1,2,-1,-1,2.0,-1,-1,1,0,PBKS,RR
1,2,16,0,1,18,-1,-1,9.0,-1,-1,1,0,PBKS,RR
1,3,12,0,1,30,-1,-1,10.0,-1,-1,1,0,PBKS,RR
1,4,12,1,2,42,-1,-1,10.5,-1,-1,1,0,PBKS,RR
1,5,3,0,2,45,-1,-1,9.0,-1,-1,1,0,PBKS,RR
1,6,3,1,3,48,-1,-1,8.0,-1,-1,1,0,PBKS,RR
1,7,5,1,4,53,-1,-1,7.571428571428571,-1,-1,1,0,PBKS,RR
1,8,6,0,4,59,-1,-1,7.375,-1,-1,1,0,PBKS,RR
1,9,3,0,4,62,-1,-1,6.888888888888889,-1,-1,1,0,PBKS,RR
