,Team1,match_id,is_batting_team,Team2,innings_over,innings_score,innings_wickets,score_target,total_runs,player_dismissed,predictions,run_rate,wickets_in_over,required_run_rate,predicted_team1,predicted_team2
0,SRH,1359514,1,DC,1_1,8,0,-1,8,0,0.41974667,8.0,0,-1.0,0.41974667,0.58025336
1,SRH,1359514,1,DC,1_2,21,0,-1,13,0,0.42078924,10.5,0,-1.0,0.42078924,0.57921076
2,SRH,1359514,1,DC,1_3,28,1,-1,7,1,0.47945708,9.333333333333334,1,-1.0,0.47945708,0.5205429
3,SRH,1359514,1,DC,1_4,42,1,-1,14,0,0.4165954,10.5,0,-1.0,0.4165954,0.5834046
4,SRH,1359514,1,DC,1_5,46,2,-1,4,1,0.46865386,9.2,1,-1.0,0.46865386,0.53134614
5,SRH,1359514,1,DC,1_6,62,2,-1,16,0,0.51963645,10.333333333333334,0,-1.0,0.51963645,0.48036355
6,SRH,1359514,1,DC,1_7,71,2,-1,9,0,0.5416685,10.142857142857142,0,-1.0,0.5416685,0.45833153
7,SRH,1359514,1,DC,1_8,76,2,-1,5,0,0.5076544,9.5,0,-1.0,0.5076544,0.49234557
8,SRH,1359514,1,DC,1_9,83,2,-1,7,0,0.5274795,9.22222222222222,0,-1.0,0.5274795,0.47252047
9,SRH,1359514,1,DC,1_10,83,4,-1,0,2,0.38105685,8.3,2,-1.0,0.38105685,0.61894315
10,SRH,1359514,1,DC,1_11,107,4,-1,24,0,0.6518636,9.727272727272728,0,-1.0,0.6518636,0.34813643
11,SRH,1359514,1,DC,1_12,109,5,-1,2,1,0.37951037,9.083333333333334,1,-1.0,0.37951037,0.6204896
12,SRH,1359514,1,DC,1_13,120,5,-1,11,0,0.4471007,9.23076923076923,0,-1.0,0.4471007,0.5528993
13,SRH,1359514,1,DC,1_14,126,5,-1,6,0,0.4220092,9.0,0,-1.0,0.4220092,0.5779908
14,SRH,1359514,1,DC,1_15,135,5,-1,9,0,0.440402,9.0,0,-1.0,0.440402,0.55959797
15,SRH,1359514,1,DC,1_16,152,5,-1,17,0,0.63748544,9.5,0,-1.0,0.63748544,0.36251456
16,SRH,1359514,1,DC,1_17,162,6,-1,10,1,0.5913342,9.529411764705882,1,-1.0,0.5913342,0.40866578
17,SRH,1359514,1,DC,1_18,172,6,-1,10,0,0.5862866,9.555555555555555,0,-1.0,0.5862866,0.4137134
18,SRH,1359514,1,DC,1_19,185,6,-1,13,0,0.7493483,9.736842105263158,0,-1.0,0.7493483,0.25065172
19,SRH,1359514,0,DC,1_20,197,6,198,12,0,0.5733309,9.85,0,99.0,0.5733309,0.42666912
20,SRH,1359514,0,DC,2_1,7,1,198,7,1,0.86787957,7.0,1,10.052631578947368,0.86787957,0.13212043
21,SRH,1359514,0,DC,2_2,15,1,198,8,0,0.82215625,7.5,0,10.166666666666666,0.82215625,0.17784375
22,SRH,1359514,0,DC,2_3,23,1,198,8,0,0.79344225,7.666666666666667,0,10.294117647058824,0.79344225,0.20655775
23,SRH,1359514,0,DC,2_4,35,1,198,12,0,0.7642873,8.75,0,10.1875,0.7642873,0.2357127
24,SRH,1359514,0,DC,2_5,46,1,198,11,0,0.75498194,9.2,0,10.133333333333333,0.75498194,0.24501806
25,SRH,1359514,0,DC,2_6,57,1,198,11,0,0.69920254,9.5,0,10.071428571428571,0.69920254,0.30079746
