inning,over,total_runs,player_dismissed,innings_wickets,innings_score,score_target,remaining_target,run_rate,required_run_rate,runrate_diff,is_batting_team,is_toss_winner,team1,team2
1,1,2,0,0,2,-1,-1,2.0,-1,-1,1,0,LSG,PBKS
1,2,17,0,0,19,-1,-1,9.5,-1,-1,1,0,LSG,PBKS
1,3,16,0,0,35,-1,-1,11.666666666666666,-1,-1,1,0,LSG,PBKS
1,4,10,1,1,45,-1,-1,11.25,-1,-1,1,0,LSG,PBKS
1,5,17,0,1,62,-1,-1,12.4,-1,-1,1,0,LSG,PBKS
1,6,12,1,2,74,-1,-1,12.333333333333334,-1,-1,1,0,LSG,PBKS
1,7,9,0,2,83,-1,-1,11.857142857142858,-1,-1,1,0,LSG,PBKS
1,8,24,0,2,107,-1,-1,13.375,-1,-1,1,0,LSG,PBKS
1,9,4,0,2,111,-1,-1,12.333333333333334,-1,-1,1,0,LSG,PBKS
