,Team1,match_id,is_batting_team,Team2,innings_over,innings_score,innings_wickets,score_target,total_runs,player_dismissed,predictions,run_rate,wickets_in_over,required_run_rate,predicted_team1,predicted_team2
0,RCB,1359524,1,DC,1_1,7,0,-1,7,0,0.45208582,7.0,0,-1.0,0.45208582,0.54791415
1,RCB,1359524,1,DC,1_2,13,0,-1,6,0,0.46486485,6.5,0,-1.0,0.46486485,0.53513515
2,RCB,1359524,1,DC,1_3,20,0,-1,7,0,0.47407243,6.666666666666667,0,-1.0,0.47407243,0.52592754
3,RCB,1359524,1,DC,1_4,23,0,-1,3,0,0.4363817,5.75,0,-1.0,0.4363817,0.5636183
4,RCB,1359524,1,DC,1_5,36,0,-1,13,0,0.49125952,7.2,0,-1.0,0.49125952,0.5087405
5,RCB,1359524,1,DC,1_6,51,0,-1,15,0,0.54651445,8.5,0,-1.0,0.54651445,0.45348555
6,RCB,1359524,1,DC,1_7,57,0,-1,6,0,0.5179226,8.142857142857142,0,-1.0,0.5179226,0.48207742
7,RCB,1359524,1,DC,1_8,64,0,-1,7,0,0.5155982,8.0,0,-1.0,0.5155982,0.48440182
8,RCB,1359524,1,DC,1_9,72,0,-1,8,0,0.50803983,8.0,0,-1.0,0.50803983,0.49196017
9,RCB,1359524,1,DC,1_10,79,0,-1,7,0,0.5167772,7.9,0,-1.0,0.5167772,0.48322278
10,RCB,1359524,1,DC,1_11,83,2,-1,4,2,0.45902064,7.545454545454546,2,-1.0,0.45902064,0.5409794
11,RCB,1359524,1,DC,1_12,93,2,-1,10,0,0.5120852,7.75,0,-1.0,0.5120852,0.4879148
12,RCB,1359524,1,DC,1_13,102,2,-1,9,0,0.53442794,7.846153846153846,0,-1.0,0.53442794,0.46557206
13,RCB,1359524,1,DC,1_14,115,2,-1,13,0,0.5266213,8.214285714285714,0,-1.0,0.5266213,0.47337872
14,RCB,1359524,1,DC,1_15,126,2,-1,11,0,0.5488296,8.4,0,-1.0,0.5488296,0.45117038
15,RCB,1359524,1,DC,1_16,137,3,-1,11,1,0.53240585,8.5625,1,-1.0,0.53240585,0.46759415
16,RCB,1359524,1,DC,1_17,151,3,-1,14,0,0.53752786,8.882352941176471,0,-1.0,0.53752786,0.46247214
17,RCB,1359524,1,DC,1_18,166,3,-1,15,0,0.5368888,9.22222222222222,0,-1.0,0.5368888,0.46311122
18,RCB,1359524,0,DC,1_19,172,3,182,6,0,0.22438432,9.052631578947368,0,10.0,0.22438432,0.7756157
19,RCB,1359524,0,DC,1_20,181,4,182,9,1,0.26863432,9.05,1,99.0,0.26863432,0.7313657
20,RCB,1359524,0,DC,2_1,10,0,182,10,0,0.42153528,10.0,0,9.052631578947368,0.42153528,0.57846475
21,RCB,1359524,0,DC,2_2,17,0,182,7,0,0.40463644,8.5,0,9.166666666666666,0.40463644,0.59536356
22,RCB,1359524,0,DC,2_3,29,0,182,12,0,0.29356682,9.666666666666666,0,9.0,0.29356682,0.7064332
23,RCB,1359524,0,DC,2_4,41,0,182,12,0,0.17062797,10.25,0,8.8125,0.17062797,0.82937205
24,RCB,1359524,0,DC,2_5,60,0,182,19,0,0.1781338,12.0,0,8.133333333333333,0.1781338,0.8218662
25,RCB,1359524,0,DC,2_6,70,1,182,10,1,0.20050181,11.666666666666666,1,8.0,0.20050181,0.7994982
26,RCB,1359524,0,DC,2_7,78,1,182,8,0,0.16496582,11.142857142857142,0,8.0,0.16496582,0.8350342
27,RCB,1359524,0,DC,2_8,86,1,182,8,0,0.12941599,10.75,0,8.0,0.12941599,0.870584
28,RCB,1359524,0,DC,2_9,102,1,182,16,0,0.037716445,11.333333333333334,0,7.272727272727272,0.037716445,0.96228355
29,RCB,1359524,0,DC,2_10,115,1,182,13,0,0.01696665,11.5,0,6.7,0.01696665,0.98303336
30,RCB,1359524,0,DC,2_11,123,2,182,8,1,0.016633593,11.181818181818182,1,6.555555555555555,0.016633593,0.98336643
31,RCB,1359524,0,DC,2_12,126,2,182,3,0,0.039448462,10.5,0,7.0,0.039448462,0.96055156
32,RCB,1359524,0,DC,2_13,150,2,182,24,0,0.010795301,11.538461538461538,0,4.571428571428571,0.010795301,0.9892047
