,Team1,match_id,is_batting_team,Team2,innings_over,innings_score,innings_wickets,score_target,total_runs,player_dismissed,predictions,run_rate,wickets_in_over,required_run_rate,predicted_team1,predicted_team2
0,PBKS,1359533,1,DC,1_1,4,0,-1,4,0,0.45351264,4.0,0,-1,0.45351264,0.54648733
1,PBKS,1359533,1,DC,1_2,14,1,-1,10,1,0.42272115,7.0,1,-1,0.42272115,0.57727885
2,PBKS,1359533,1,DC,1_3,23,1,-1,9,0,0.45467675,7.666666666666667,0,-1,0.45467675,0.54532325
3,PBKS,1359533,1,DC,1_4,32,1,-1,9,0,0.4737333,8.0,0,-1,0.4737333,0.5262667
4,PBKS,1359533,1,DC,1_5,38,2,-1,6,1,0.41485187,7.6,1,-1,0.41485187,0.5851481
5,PBKS,1359533,1,DC,1_6,46,3,-1,8,1,0.3537141,7.666666666666667,1,-1,0.3537141,0.6462859
