innings_score,innings_wickets,current_innings,total_runs,player_dismised,overs,team1,team2,batting_team,toss_decision,toss_winner,score_target,run_rate,remaining_target,required_run_rate,run_rate_diff
172,6,2,17,0,20,RR,CSK,CSK,bowl,CSK,176,8.6,4,99.0,-90.4
155,6,2,19,0,19,RR,CSK,CSK,bowl,CSK,176,8.157894736842104,21,21.0,-12.842105263157896
136,6,2,14,0,18,RR,CSK,CSK,bowl,CSK,176,7.555555555555555,40,20.0,-12.444444444444445
122,6,2,5,0,17,RR,CSK,CSK,bowl,CSK,176,7.176470588235294,54,18.0,-10.823529411764707
