inning,over,total_runs,player_dismissed,innings_wickets,innings_score,score_target,remaining_target,run_rate,required_run_rate,runrate_diff,is_batting_team,is_toss_winner,team1,team2
1,1,8,0,0,8,-1,-1,8.0,-1,-1,1,1,RR,MI
1,2,11,0,0,19,-1,-1,9.5,-1,-1,1,1,RR,MI
1,3,7,0,0,26,-1,-1,8.666666666666666,-1,-1,1,1,RR,MI
1,4,16,0,0,42,-1,-1,10.5,-1,-1,1,1,RR,MI
1,5,16,0,0,58,-1,-1,11.6,-1,-1,1,1,RR,MI
1,6,7,0,0,65,-1,-1,10.833333333333334,-1,-1,1,1,RR,MI
1,7,7,0,0,72,-1,-1,10.285714285714286,-1,-1,1,1,RR,MI
