inning,over,total_runs,player_dismissed,innings_wickets,innings_score,score_target,remaining_target,run_rate,required_run_rate,runrate_diff,is_batting_team,is_toss_winner,team1,team2
1,1,0,0,0,0,-1,-1,0.0,-1.0,-1.0,1,0,LSG,RR
1,2,12,0,0,12,-1,-1,6.0,-1.0,-1.0,1,0,LSG,RR
1,3,2,0,0,14,-1,-1,4.666666666666667,-1.0,-1.0,1,0,LSG,RR
1,4,4,0,0,18,-1,-1,4.5,-1.0,-1.0,1,0,LSG,RR
1,5,13,0,0,31,-1,-1,6.2,-1.0,-1.0,1,0,LSG,RR
1,6,6,0,0,37,-1,-1,6.166666666666667,-1.0,-1.0,1,0,LSG,RR
1,7,6,0,0,43,-1,-1,6.142857142857143,-1.0,-1.0,1,0,LSG,RR
1,8,13,0,0,56,-1,-1,7.0,-1.0,-1.0,1,0,LSG,RR
1,9,18,0,0,74,-1,-1,8.222222222222221,-1.0,-1.0,1,0,LSG,RR
1,10,5,0,0,79,-1,-1,7.9,-1.0,-1.0,1,0,LSG,RR
1,11,4,1,1,83,-1,-1,7.545454545454546,-1.0,-1.0,1,0,LSG,RR
1,12,3,1,2,86,-1,-1,7.166666666666667,-1.0,-1.0,1,0,LSG,RR
1,13,12,0,2,98,-1,-1,7.538461538461538,-1.0,-1.0,1,0,LSG,RR
1,14,6,2,4,104,-1,-1,7.428571428571429,-1.0,-1.0,1,0,LSG,RR
1,15,5,0,4,109,-1,-1,7.266666666666667,-1.0,-1.0,1,0,LSG,RR
1,16,6,0,4,115,-1,-1,7.1875,-1.0,-1.0,1,0,LSG,RR
1,17,8,0,4,123,-1,-1,7.235294117647059,-1.0,-1.0,1,0,LSG,RR
1,18,6,0,4,129,-1,-1,7.166666666666667,-1.0,-1.0,1,0,LSG,RR
1,19,17,0,4,146,155,9,7.684210526315789,9.0,-1.3157894736842106,0,0,LSG,RR
1,20,8,3,7,154,155,1,7.7,99.0,-91.3,0,0,LSG,RR
2,1,2,0,0,2,155,153,2.0,8.052631578947368,-6.052631578947368,0,0,LSG,RR
2,2,16,0,0,18,155,137,9.0,7.611111111111111,1.3888888888888893,0,0,LSG,RR
