,Team1,match_id,is_batting_team,Team2,innings_over,innings_score,innings_wickets,score_target,total_runs,player_dismissed,predictions,run_rate,wickets_in_over,required_run_rate,predicted_team1,predicted_team2
0,DC,1359508,1,SRH,1_1,2,1,-1,2,1,0.3903013,2.0,1,-1,0.3903013,0.6096987
1,DC,1359508,1,SRH,1_2,21,1,-1,19,0,0.3924796,10.5,0,-1,0.3924796,0.6075204
2,DC,1359508,1,SRH,1_3,22,1,-1,1,0,0.415939,7.333333333333333,0,-1,0.415939,0.584061
3,DC,1359508,1,SRH,1_4,35,1,-1,13,0,0.4870017,8.75,0,-1,0.4870017,0.51299834
4,DC,1359508,1,SRH,1_5,41,2,-1,6,1,0.42650157,8.2,1,-1,0.42650157,0.5734984
5,DC,1359508,1,SRH,1_6,49,2,-1,8,0,0.47349048,8.166666666666666,0,-1,0.47349048,0.5265095
6,DC,1359508,1,SRH,1_7,57,2,-1,8,0,0.5023727,8.142857142857142,0,-1,0.5023727,0.49762732
7,DC,1359508,1,SRH,1_8,62,5,-1,5,3,0.2900584,7.75,3,-1,0.2900584,0.7099416
8,DC,1359508,1,SRH,1_9,69,5,-1,7,0,0.29320627,7.666666666666667,0,-1,0.29320627,0.7067937
9,DC,1359508,1,SRH,1_10,72,5,-1,3,0,0.25257313,7.2,0,-1,0.25257313,0.74742687
10,DC,1359508,1,SRH,1_11,76,5,-1,4,0,0.2689917,6.909090909090909,0,-1,0.2689917,0.7310083
11,DC,1359508,1,SRH,1_12,84,5,-1,8,0,0.3175063,7.0,0,-1,0.3175063,0.6824937
12,DC,1359508,1,SRH,1_13,91,5,-1,7,0,0.32947853,7.0,0,-1,0.32947853,0.6705215
13,DC,1359508,1,SRH,1_14,97,5,-1,6,0,0.3607001,6.928571428571429,0,-1,0.3607001,0.63929987
14,DC,1359508,1,SRH,1_15,106,5,-1,9,0,0.35536113,7.066666666666666,0,-1,0.35536113,0.6446389
15,DC,1359508,1,SRH,1_16,113,5,-1,7,0,0.3650943,7.0625,0,-1,0.3650943,0.6349057
16,DC,1359508,1,SRH,1_17,128,5,-1,15,0,0.37195966,7.529411764705882,0,-1,0.37195966,0.6280403
