inning,over,total_runs,player_dismissed,innings_wickets,innings_score,score_target,remaining_target,run_rate,required_run_rate,runrate_diff,is_batting_team,is_toss_winner,team1,team2
1,1,3,0,0,3,-1,-1,3.0,-1.0,-1.0,1,0,CSK,RCB
1,2,13,0,0,16,-1,-1,8.0,-1.0,-1.0,1,0,CSK,RCB
2,14,13,1,4,159,227,68,11.357142857142858,11.333333333333334,0.023809523809523725,0,0,CSK,RCB
2,15,10,0,4,169,227,58,11.266666666666667,11.6,-0.33333333333333215,0,0,CSK,RCB
2,16,12,0,4,181,227,46,11.3125,11.5,-0.1875,0,0,CSK,RCB
2,17,11,1,5,192,227,35,11.294117647058824,11.666666666666666,-0.3725490196078418,0,0,CSK,RCB
