inning,over,total_runs,player_dismissed,innings_wickets,innings_score,score_target,remaining_target,run_rate,required_run_rate,runrate_diff,is_batting_team,is_toss_winner,team1,team2
1,1,6,0,0,6,-1,-1,6.0,-1.0,-1.0,1,0,KKR,RR
1,2,4,0,0,10,-1,-1,5.0,-1.0,-1.0,1,0,KKR,RR
1,3,4,1,1,14,-1,-1,4.666666666666667,-1.0,-1.0,1,0,KKR,RR
1,4,15,0,1,29,-1,-1,7.25,-1.0,-1.0,1,0,KKR,RR
1,5,6,1,2,35,-1,-1,7.0,-1.0,-1.0,1,0,KKR,RR
1,6,2,0,2,37,-1,-1,6.166666666666667,-1.0,-1.0,1,0,KKR,RR
1,7,7,0,2,44,-1,-1,6.285714285714286,-1.0,-1.0,1,0,KKR,RR
1,8,6,0,2,50,-1,-1,6.25,-1.0,-1.0,1,0,KKR,RR
1,9,8,0,2,58,-1,-1,6.444444444444445,-1.0,-1.0,1,0,KKR,RR
1,10,18,0,2,76,-1,-1,7.6,-1.0,-1.0,1,0,KKR,RR
1,11,3,1,3,79,-1,-1,7.181818181818182,-1.0,-1.0,1,0,KKR,RR
1,12,6,0,3,85,-1,-1,7.083333333333333,-1.0,-1.0,1,0,KKR,RR
1,13,15,0,3,100,-1,-1,7.6923076923076925,-1.0,-1.0,1,0,KKR,RR
1,14,10,1,4,110,-1,-1,7.857142857142857,-1.0,-1.0,1,0,KKR,RR
1,15,6,0,4,116,-1,-1,7.733333333333333,-1.0,-1.0,1,0,KKR,RR
1,16,11,0,4,127,-1,-1,7.9375,-1.0,-1.0,1,0,KKR,RR
1,17,4,2,6,131,-1,-1,7.705882352941177,-1.0,-1.0,1,0,KKR,RR
1,18,8,0,6,139,-1,-1,7.722222222222222,-1.0,-1.0,1,0,KKR,RR
1,19,3,1,7,142,-1,-1,7.473684210526316,-1.0,-1.0,1,0,KKR,RR
1,20,7,1,8,149,-1,-1,7.45,-1.0,-1.0,1,0,KKR,RR
2,1,26,0,0,26,150,124,26.0,6.526315789473684,19.473684210526315,0,0,KKR,RR
2,2,14,1,1,40,150,110,20.0,6.111111111111111,13.88888888888889,0,0,KKR,RR
2,3,14,0,1,54,150,96,18.0,5.647058823529412,12.352941176470587,0,0,KKR,RR
2,4,5,0,1,59,150,91,14.75,5.6875,9.0625,0,0,KKR,RR
