,Team1,match_id,is_batting_team,Team2,innings_over,innings_score,innings_wickets,score_target,total_runs,player_dismissed,predictions,run_rate,wickets_in_over,required_run_rate,predicted_team1,predicted_team2
0,KKR,1359510,1,RCB,1_1,8,0,-1,8,0,0.41974667,8.0,0,-1,0.41974667,0.58025336
1,KKR,1359510,1,RCB,1_2,13,0,-1,5,0,0.4591695,6.5,0,-1,0.4591695,0.5408305
2,KKR,1359510,1,RCB,1_3,18,0,-1,5,0,0.4456497,6.0,0,-1,0.4456497,0.55435026
3,KKR,1359510,1,RCB,1_4,35,0,-1,17,0,0.53660554,8.75,0,-1,0.53660554,0.46339446
4,KKR,1359510,1,RCB,1_5,41,0,-1,6,0,0.48078105,8.2,0,-1,0.48078105,0.5192189
5,KKR,1359510,1,RCB,1_6,66,0,-1,25,0,0.70555997,11.0,0,-1,0.70555997,0.29444003
6,KKR,1359510,1,RCB,1_7,68,0,-1,2,0,0.6287473,9.714285714285714,0,-1,0.6287473,0.37125272
7,KKR,1359510,1,RCB,1_8,75,0,-1,7,0,0.56639105,9.375,0,-1,0.56639105,0.43360895
8,KKR,1359510,1,RCB,1_9,82,0,-1,7,0,0.5343292,9.11111111111111,0,-1,0.5343292,0.46567082
