,Team1,match_id,is_batting_team,Team2,innings_over,innings_score,innings_wickets,score_target,total_runs,player_dismissed,predictions,run_rate,wickets_in_over,required_run_rate,predicted_team1,predicted_team2
0,PBKS,1359527,1,KKR,1_1,12,0,-1,12,0,0.541192,12.0,0,-1.0,0.541192,0.458808
1,PBKS,1359527,1,KKR,1_2,21,1,-1,9,1,0.3519622,10.5,1,-1.0,0.3519622,0.6480378
2,PBKS,1359527,1,KKR,1_3,26,1,-1,5,0,0.4618832,8.666666666666666,0,-1.0,0.4618832,0.5381168
3,PBKS,1359527,1,KKR,1_4,32,2,-1,6,1,0.4290029,8.0,1,-1.0,0.4290029,0.5709971
4,PBKS,1359527,1,KKR,1_5,51,2,-1,19,0,0.53869724,10.2,0,-1.0,0.53869724,0.46130276
5,PBKS,1359527,1,KKR,1_6,58,3,-1,7,1,0.5314427,9.666666666666666,1,-1.0,0.5314427,0.4685573
6,PBKS,1359527,1,KKR,1_7,64,3,-1,6,0,0.47970626,9.142857142857142,0,-1.0,0.47970626,0.5202937
7,PBKS,1359527,1,KKR,1_8,70,3,-1,6,0,0.49087155,8.75,0,-1.0,0.49087155,0.50912845
8,PBKS,1359527,1,KKR,1_9,79,3,-1,9,0,0.52774656,8.777777777777779,0,-1.0,0.52774656,0.47225344
9,PBKS,1359527,1,KKR,1_10,82,3,-1,3,0,0.48683572,8.2,0,-1.0,0.48683572,0.5131643
10,PBKS,1359527,1,KKR,1_11,93,3,-1,11,0,0.54146236,8.454545454545455,0,-1.0,0.54146236,0.45853764
11,PBKS,1359527,1,KKR,1_12,104,3,-1,11,0,0.5374314,8.666666666666666,0,-1.0,0.5374314,0.46256858
12,PBKS,1359527,1,KKR,1_13,109,4,-1,5,1,0.45308962,8.384615384615385,1,-1.0,0.45308962,0.5469104
13,PBKS,1359527,1,KKR,1_14,117,4,-1,8,0,0.51426244,8.357142857142858,0,-1.0,0.51426244,0.48573756
14,PBKS,1359527,1,KKR,1_15,124,5,-1,7,1,0.47198042,8.266666666666667,1,-1.0,0.47198042,0.52801955
15,PBKS,1359527,1,KKR,1_16,131,5,-1,7,0,0.40742728,8.1875,0,-1.0,0.40742728,0.5925727
16,PBKS,1359527,1,KKR,1_17,139,6,-1,8,1,0.41034392,8.176470588235293,1,-1.0,0.41034392,0.5896561
17,PBKS,1359527,1,KKR,1_18,143,7,-1,4,1,0.42863193,7.944444444444445,1,-1.0,0.42863193,0.5713681
18,PBKS,1359527,1,KKR,1_19,158,7,-1,15,0,0.4706132,8.31578947368421,0,-1.0,0.4706132,0.52938676
19,PBKS,1359527,0,KKR,1_20,179,7,180,21,0,0.69449353,8.95,0,99.0,0.69449353,0.30550647
20,PBKS,1359527,0,KKR,2_1,5,0,180,5,0,0.61394286,5.0,0,9.210526315789474,0.61394286,0.38605714
21,PBKS,1359527,0,KKR,2_2,10,0,180,5,0,0.6434968,5.0,0,9.444444444444445,0.6434968,0.3565032
22,PBKS,1359527,0,KKR,2_3,20,0,180,10,0,0.6186035,6.666666666666667,0,9.411764705882351,0.6186035,0.38139647
23,PBKS,1359527,0,KKR,2_4,36,0,180,16,0,0.3951591,9.0,0,9.0,0.3951591,0.6048409
24,PBKS,1359527,0,KKR,2_5,39,1,180,3,1,0.58785665,7.8,1,9.4,0.58785665,0.41214335
25,PBKS,1359527,0,KKR,2_6,52,1,180,13,0,0.46940547,8.666666666666666,0,9.142857142857142,0.46940547,0.5305945
26,PBKS,1359527,0,KKR,2_7,63,1,180,11,0,0.39829075,9.0,0,9.0,0.39829075,0.60170925
27,PBKS,1359527,0,KKR,2_8,67,2,180,4,1,0.49747708,8.375,1,9.416666666666666,0.49747708,0.50252295
28,PBKS,1359527,0,KKR,2_9,73,2,180,6,0,0.510847,8.11111111111111,0,9.727272727272728,0.510847,0.48915303
29,PBKS,1359527,0,KKR,2_10,76,2,180,3,0,0.55167514,7.6,0,10.4,0.55167514,0.44832486
30,PBKS,1359527,0,KKR,2_11,92,2,180,16,0,0.37620506,8.363636363636363,0,9.77777777777778,0.37620506,0.6237949
31,PBKS,1359527,0,KKR,2_12,98,2,180,6,0,0.4523483,8.166666666666666,0,10.25,0.4523483,0.5476517
32,PBKS,1359527,0,KKR,2_13,109,2,180,11,0,0.3543678,8.384615384615385,0,10.142857142857142,0.3543678,0.6456322
33,PBKS,1359527,0,KKR,2_14,116,3,180,7,1,0.37309,8.285714285714286,1,10.666666666666666,0.37309,0.62691
