,Team1,match_id,is_batting_team,Team2,innings_over,innings_score,innings_wickets,score_target,total_runs,player_dismissed,predictions,run_rate,wickets_in_over,required_run_rate,predicted_team1,predicted_team2
0,MI,1370351,1,LSG,1_1,5,0,-1,5,0,0.4289207,5.0,0,-1,0.4289207,0.5710793
1,MI,1370351,1,LSG,1_2,13,0,-1,8,0,0.46466497,6.5,0,-1,0.46466497,0.53533506
2,MI,1370351,1,LSG,1_3,29,0,-1,16,0,0.5462732,9.666666666666666,0,-1,0.5462732,0.45372683
3,MI,1370351,1,LSG,1_4,38,1,-1,9,1,0.47997448,9.5,1,-1,0.47997448,0.5200255
4,MI,1370351,1,LSG,1_5,46,2,-1,8,1,0.48251826,9.2,1,-1,0.48251826,0.51748174
5,MI,1370351,1,LSG,1_6,62,2,-1,16,0,0.51963645,10.333333333333334,0,-1,0.51963645,0.48036355
6,MI,1370351,1,LSG,1_7,70,2,-1,8,0,0.53484905,10.0,0,-1,0.53484905,0.46515095
7,MI,1370351,1,LSG,1_8,75,2,-1,5,0,0.52863675,9.375,0,-1,0.52863675,0.47136325
8,MI,1370351,1,LSG,1_9,89,2,-1,14,0,0.63248587,9.88888888888889,0,-1,0.63248587,0.36751413
9,MI,1370351,1,LSG,1_10,98,2,-1,9,0,0.6621863,9.8,0,-1,0.6621863,0.33781368
