inning,over,total_runs,player_dismissed,innings_wickets,innings_score,score_target,remaining_target,run_rate,required_run_rate,runrate_diff,is_batting_team,is_toss_winner,team1,team2
1,1,8,0,0,8,-1,-1,8.0,-1.0,-1.0,1,0,KKR,RCB
1,2,5,0,0,13,-1,-1,6.5,-1.0,-1.0,1,0,KKR,RCB
1,3,5,0,0,18,-1,-1,6.0,-1.0,-1.0,1,0,KKR,RCB
1,4,17,0,0,35,-1,-1,8.75,-1.0,-1.0,1,0,KKR,RCB
1,5,6,0,0,41,-1,-1,8.2,-1.0,-1.0,1,0,KKR,RCB
1,6,25,0,0,66,-1,-1,11.0,-1.0,-1.0,1,0,KKR,RCB
1,7,2,0,0,68,-1,-1,9.714285714285714,-1.0,-1.0,1,0,KKR,RCB
1,8,7,0,0,75,-1,-1,9.375,-1.0,-1.0,1,0,KKR,RCB
1,9,7,0,0,82,-1,-1,9.11111111111111,-1.0,-1.0,1,0,KKR,RCB
1,10,6,2,2,88,-1,-1,8.8,-1.0,-1.0,1,0,KKR,RCB
1,11,5,0,2,93,-1,-1,8.454545454545455,-1.0,-1.0,1,0,KKR,RCB
1,12,13,0,2,106,-1,-1,8.833333333333334,-1.0,-1.0,1,0,KKR,RCB
1,13,11,0,2,117,-1,-1,9.0,-1.0,-1.0,1,0,KKR,RCB
1,14,9,0,2,126,-1,-1,9.0,-1.0,-1.0,1,0,KKR,RCB
1,15,5,0,2,131,-1,-1,8.733333333333333,-1.0,-1.0,1,0,KKR,RCB
1,16,19,0,2,150,-1,-1,9.375,-1.0,-1.0,1,0,KKR,RCB
1,17,17,0,2,167,201,34,9.823529411764708,11.333333333333334,-1.5098039215686274,1,1,RCB,KKR
1,18,3,2,4,170,201,31,9.444444444444445,15.5,-6.055555555555555,1,1,RCB,KKR
1,19,15,1,5,185,201,16,9.736842105263158,16.0,-6.2631578947368425,1,1,RCB,KKR
1,20,15,0,5,200,201,1,10.0,99.0,-89.0,1,1,RCB,KKR
2,1,11,0,0,11,201,190,11.0,10.0,1.0,0,0,KKR,RCB
2,2,19,0,0,30,201,171,15.0,9.5,5.5,0,0,KKR,RCB
2,3,3,1,1,33,201,168,11.0,9.882352941176473,1.117647058823529,0,0,KKR,RCB
2,4,9,0,1,42,201,159,10.5,9.9375,0.5625,0,0,KKR,RCB
2,5,11,1,2,53,201,148,10.6,9.866666666666667,0.7333333333333325,0,0,KKR,RCB
2,6,5,1,3,58,201,143,9.666666666666666,10.214285714285714,-0.5476190476190474,0,0,KKR,RCB
2,7,6,0,3,64,201,137,9.142857142857142,10.538461538461538,-1.395604395604396,0,0,KKR,RCB
2,8,8,0,3,72,201,129,9.0,10.75,-1.75,0,0,KKR,RCB
2,9,8,0,3,80,201,121,8.88888888888889,11.0,-2.1111111111111107,0,0,KKR,RCB
2,10,16,0,3,96,201,105,9.6,10.5,-0.9000000000000004,0,0,KKR,RCB
