,Team1,match_id,is_batting_team,Team2,innings_over,innings_score,innings_wickets,score_target,total_runs,player_dismissed,predictions,run_rate,wickets_in_over,required_run_rate,predicted_team1,predicted_team2
0,RR,1359526,1,SRH,1_1,9,0,-1,9,0,0.48126397,9.0,0,-1.0,0.48126397,0.518736
1,RR,1359526,1,SRH,1_2,26,0,-1,17,0,0.6893866,13.0,0,-1.0,0.6893866,0.3106134
2,RR,1359526,1,SRH,1_3,34,0,-1,8,0,0.5095831,11.333333333333334,0,-1.0,0.5095831,0.49041688
3,RR,1359526,1,SRH,1_4,45,0,-1,11,0,0.6113922,11.25,0,-1.0,0.6113922,0.3886078
4,RR,1359526,1,SRH,1_5,54,1,-1,9,1,0.608077,10.8,1,-1.0,0.608077,0.391923
5,RR,1359526,1,SRH,1_6,61,1,-1,7,0,0.49028203,10.166666666666666,0,-1.0,0.49028203,0.50971794
6,RR,1359526,1,SRH,1_7,70,1,-1,9,0,0.53547096,10.0,0,-1.0,0.53547096,0.46452904
7,RR,1359526,1,SRH,1_8,74,1,-1,4,0,0.5123593,9.25,0,-1.0,0.5123593,0.48764068
8,RR,1359526,1,SRH,1_9,95,1,-1,21,0,0.7441099,10.555555555555555,0,-1.0,0.7441099,0.25589007
9,RR,1359526,1,SRH,1_10,107,1,-1,12,0,0.7635434,10.7,0,-1.0,0.7635434,0.23645657
10,RR,1359526,1,SRH,1_11,115,1,-1,8,0,0.69839895,10.454545454545457,0,-1.0,0.69839895,0.30160105
11,RR,1359526,1,SRH,1_12,125,1,-1,10,0,0.7580424,10.416666666666666,0,-1.0,0.7580424,0.2419576
12,RR,1359526,1,SRH,1_13,135,1,-1,10,0,0.7627451,10.384615384615383,0,-1.0,0.7627451,0.23725492
13,RR,1359526,1,SRH,1_14,142,1,-1,7,0,0.7125166,10.142857142857142,0,-1.0,0.7125166,0.2874834
14,RR,1359526,1,SRH,1_15,154,1,-1,12,0,0.8047887,10.266666666666667,0,-1.0,0.8047887,0.19521129
15,RR,1359526,1,SRH,1_16,168,1,-1,14,0,0.8197336,10.5,0,-1.0,0.8197336,0.18026638
16,RR,1359526,1,SRH,1_17,185,1,-1,17,0,0.920331,10.882352941176473,0,-1.0,0.920331,0.079669
17,RR,1359526,0,SRH,1_18,190,1,215,5,0,0.96437186,10.555555555555555,0,12.5,0.96437186,0.03562814
18,RR,1359526,0,SRH,1_19,197,2,215,7,1,0.97586095,10.36842105263158,1,18.0,0.97586095,0.024139047
19,RR,1359526,0,SRH,1_20,214,2,215,17,0,0.9320232,10.7,0,99.0,0.9320232,0.06797677
20,RR,1359526,0,SRH,2_1,4,0,215,4,0,0.9732068,4.0,0,11.105263157894736,0.9732068,0.026793182
21,RR,1359526,0,SRH,2_2,12,0,215,8,0,0.9775704,6.0,0,11.27777777777778,0.9775704,0.022429585
22,RR,1359526,0,SRH,2_3,22,0,215,10,0,0.97992676,7.333333333333333,0,11.352941176470589,0.97992676,0.020073235
23,RR,1359526,0,SRH,2_4,30,0,215,8,0,0.9839691,7.5,0,11.5625,0.9839691,0.016030908
