,Team1,match_id,is_batting_team,Team2,innings_over,innings_score,innings_wickets,score_target,total_runs,player_dismissed,predictions,run_rate,wickets_in_over,required_run_rate,predicted_team1,predicted_team2
0,MI,1359499,1,SRH,1_1,6,0,-1,6,0,0.4439756,6.0,0,-1,0.4439756,0.55602443
1,MI,1359499,1,SRH,1_2,15,0,-1,9,0,0.49506757,7.5,0,-1,0.49506757,0.5049324
2,MI,1359499,1,SRH,1_4,33,0,-1,5,0,0.5029643,8.25,0,-1,0.5029643,0.49703568
3,MI,1359499,1,SRH,1_5,42,1,-1,9,1,0.49542317,8.4,1,-1,0.49542317,0.5045768
4,MI,1359499,1,SRH,1_6,53,1,-1,11,0,0.50770384,8.833333333333334,0,-1,0.50770384,0.49229616
5,MI,1359499,1,SRH,1_7,56,1,-1,3,0,0.49492952,8.0,0,-1,0.49492952,0.50507045
6,MI,1359499,1,SRH,1_8,60,1,-1,4,0,0.47904074,7.5,0,-1,0.47904074,0.52095926
7,MI,1359499,1,SRH,1_9,69,1,-1,9,0,0.50015277,7.666666666666667,0,-1,0.50015277,0.49984723
