inning,over,total_runs,player_dismissed,innings_wickets,innings_score,score_target,remaining_target,run_rate,required_run_rate,runrate_diff,is_batting_team,is_toss_winner,team1,team2
1,1,5,0,0,5,-1,-1,5.0,-1,-1,1,1,RCB,LSG
1,2,11,0,0,16,-1,-1,8.0,-1,-1,1,1,RCB,LSG
1,3,4,0,0,20,-1,-1,6.666666666666667,-1,-1,1,1,RCB,LSG
1,4,12,0,0,32,-1,-1,8.0,-1,-1,1,1,RCB,LSG
1,5,5,0,0,37,-1,-1,7.4,-1,-1,1,1,RCB,LSG
1,6,5,0,0,42,-1,-1,7.0,-1,-1,1,1,RCB,LSG
1,7,7,0,0,49,-1,-1,7.0,-1,-1,1,1,RCB,LSG
1,8,7,0,0,56,-1,-1,7.0,-1,-1,1,1,RCB,LSG
1,9,6,1,1,62,-1,-1,6.888888888888889,-1,-1,1,1,RCB,LSG
1,10,3,0,1,65,-1,-1,6.5,-1,-1,1,1,RCB,LSG
1,11,6,0,1,71,-1,-1,6.454545454545454,-1,-1,1,1,RCB,LSG
1,12,7,1,2,78,-1,-1,6.5,-1,-1,1,1,RCB,LSG
1,13,4,1,3,82,-1,-1,6.3076923076923075,-1,-1,1,1,RCB,LSG
1,14,7,0,3,89,-1,-1,6.357142857142857,-1,-1,1,1,RCB,LSG
1,15,3,1,4,92,-1,-1,6.133333333333334,-1,-1,1,1,RCB,LSG
