,Team1,match_id,is_batting_team,Team2,innings_over,innings_score,innings_wickets,score_target,total_runs,player_dismissed,predictions,run_rate,wickets_in_over,required_run_rate,predicted_team1,predicted_team2
0,CSK,1359535,1,KKR,1_1,9,0,-1,9,0,0.48126397,9.0,0,-1.0,0.48126397,0.518736
1,CSK,1359535,1,KKR,1_2,17,0,-1,8,0,0.49294809,8.5,0,-1.0,0.49294809,0.50705194
2,CSK,1359535,1,KKR,1_3,25,0,-1,8,0,0.51539046,8.333333333333334,0,-1.0,0.51539046,0.48460954
3,CSK,1359535,1,KKR,1_4,37,1,-1,12,1,0.49655443,9.25,1,-1.0,0.49655443,0.50344557
4,CSK,1359535,1,KKR,1_5,48,1,-1,11,0,0.47010025,9.6,0,-1.0,0.47010025,0.5298997
5,CSK,1359535,1,KKR,1_6,52,1,-1,4,0,0.475618,8.666666666666666,0,-1.0,0.475618,0.524382
6,CSK,1359535,1,KKR,1_7,57,1,-1,5,0,0.496649,8.142857142857142,0,-1.0,0.496649,0.503351
7,CSK,1359535,1,KKR,1_8,61,2,-1,4,1,0.44812864,7.625,1,-1.0,0.44812864,0.55187136
8,CSK,1359535,1,KKR,1_9,65,2,-1,4,0,0.43547246,7.222222222222222,0,-1.0,0.43547246,0.5645275
9,CSK,1359535,1,KKR,1_10,68,3,-1,3,1,0.36709356,6.8,1,-1.0,0.36709356,0.63290644
10,CSK,1359535,1,KKR,1_11,72,5,-1,4,2,0.25148326,6.545454545454546,2,-1.0,0.25148326,0.74851674
11,CSK,1359535,1,KKR,1_12,81,5,-1,9,0,0.29586396,6.75,0,-1.0,0.29586396,0.704136
12,CSK,1359535,1,KKR,1_13,83,5,-1,2,0,0.2145648,6.384615384615385,0,-1.0,0.2145648,0.7854352
13,CSK,1359535,1,KKR,1_14,87,5,-1,4,0,0.20710935,6.214285714285714,0,-1.0,0.20710935,0.79289067
14,CSK,1359535,1,KKR,1_15,92,5,-1,5,0,0.21139622,6.133333333333334,0,-1.0,0.21139622,0.7886038
15,CSK,1359535,1,KKR,1_16,99,5,-1,7,0,0.23378375,6.1875,0,-1.0,0.23378375,0.7662163
16,CSK,1359535,1,KKR,1_17,115,5,-1,16,0,0.3408867,6.764705882352941,0,-1.0,0.3408867,0.6591133
17,KKR,1359535,1,CSK,1_18,130,5,145,15,0,0.26394844,7.222222222222222,0,7.5,0.26394844,0.73605156
18,KKR,1359535,1,CSK,1_19,135,5,145,5,0,0.4913649,7.105263157894737,0,10.0,0.4913649,0.5086351
19,KKR,1359535,1,CSK,1_20,144,6,145,9,1,0.9356577,7.2,1,99.0,0.9356577,0.06434232
20,CSK,1359535,0,KKR,2_1,4,1,145,4,1,0.38517347,4.0,1,7.421052631578948,0.38517347,0.61482656
21,CSK,1359535,0,KKR,2_2,11,1,145,7,0,0.29562035,5.5,0,7.444444444444445,0.29562035,0.7043797
22,CSK,1359535,0,KKR,2_3,22,2,145,11,1,0.4369512,7.333333333333333,1,7.235294117647059,0.4369512,0.56304884
23,CSK,1359535,0,KKR,2_4,26,2,145,4,0,0.43213812,6.5,0,7.4375,0.43213812,0.5678619
24,CSK,1359535,0,KKR,2_5,38,3,145,12,1,0.54558235,7.6,1,7.133333333333334,0.54558235,0.45441765
25,CSK,1359535,0,KKR,2_6,46,3,145,8,0,0.43796343,7.666666666666667,0,7.071428571428571,0.43796343,0.5620366
26,CSK,1359535,0,KKR,2_7,49,3,145,3,0,0.4391253,7.0,0,7.384615384615385,0.4391253,0.5608747
27,CSK,1359535,0,KKR,2_8,53,3,145,4,0,0.4224032,6.625,0,7.666666666666667,0.4224032,0.5775968
28,CSK,1359535,0,KKR,2_9,62,3,145,9,0,0.39807174,6.888888888888889,0,7.545454545454546,0.39807174,0.60192823
29,CSK,1359535,0,KKR,2_10,67,3,145,5,0,0.36760837,6.7,0,7.8,0.36760837,0.63239163
30,CSK,1359535,0,KKR,2_11,75,3,145,8,0,0.3616542,6.818181818181818,0,7.777777777777778,0.3616542,0.63834584
31,CSK,1359535,0,KKR,2_12,84,3,145,9,0,0.27815905,7.0,0,7.625,0.27815905,0.721841
32,CSK,1359535,0,KKR,2_13,96,3,145,12,0,0.119715884,7.384615384615385,0,7.0,0.119715884,0.88028413
33,CSK,1359535,0,KKR,2_14,105,3,145,9,0,0.12778364,7.5,0,6.666666666666667,0.12778364,0.87221634
34,CSK,1359535,0,KKR,2_15,117,3,145,12,0,0.029726384,7.8,0,5.6,0.029726384,0.9702736
