,Team1,match_id,is_batting_team,Team2,innings_over,innings_score,innings_wickets,score_target,total_runs,player_dismissed,predictions,run_rate,wickets_in_over,required_run_rate,predicted_team1,predicted_team2
0,GT,1359509,1,MI,1_1,4,0,-1,4,0,0.45351264,4.0,0,-1,0.45351264,0.54648733
1,GT,1359509,1,MI,1_2,12,0,-1,8,0,0.44865623,6.0,0,-1,0.44865623,0.5513438
2,GT,1359509,1,MI,1_3,17,1,-1,5,1,0.37776062,5.666666666666667,1,-1,0.37776062,0.62223935
3,GT,1359509,1,MI,1_4,23,1,-1,6,0,0.42317405,5.75,0,-1,0.42317405,0.576826
4,GT,1359509,1,MI,1_5,33,1,-1,10,0,0.46475023,6.6,0,-1,0.46475023,0.53524977
5,GT,1359509,1,MI,1_6,50,1,-1,17,0,0.52003187,8.333333333333334,0,-1,0.52003187,0.47996813
6,GT,1359509,1,MI,1_7,55,2,-1,5,1,0.4788682,7.857142857142857,1,-1,0.4788682,0.5211318
7,GT,1359509,1,MI,1_8,60,2,-1,5,0,0.46812475,7.5,0,-1,0.46812475,0.53187525
8,GT,1359509,1,MI,1_9,68,2,-1,8,0,0.4629202,7.555555555555555,0,-1,0.4629202,0.5370798
9,GT,1359509,1,MI,1_10,84,2,-1,16,0,0.53605056,8.4,0,-1,0.53605056,0.46394944
10,GT,1359509,1,MI,1_11,91,2,-1,7,0,0.5543432,8.272727272727273,0,-1,0.5543432,0.44565678
11,GT,1359509,1,MI,1_12,99,3,-1,8,1,0.5313356,8.25,1,-1,0.5313356,0.4686644
12,GT,1359509,1,MI,1_13,103,4,-1,4,1,0.44189176,7.923076923076923,1,-1,0.44189176,0.5581082
13,GT,1359509,1,MI,1_14,113,4,-1,10,0,0.4590119,8.071428571428571,0,-1,0.4590119,0.5409881
