,Team1,match_id,is_batting_team,Team2,innings_over,innings_score,innings_wickets,score_target,total_runs,player_dismissed,predictions,run_rate,wickets_in_over,required_run_rate,predicted_team1,predicted_team2
0,SRH,1359539,1,RCB,1_1,2,0,-1,2,0,0.4649202,2.0,0,-1,0.4649202,0.53507984
1,SRH,1359539,1,RCB,1_2,7,0,-1,5,0,0.41805246,3.5,0,-1,0.41805246,0.58194757
2,SRH,1359539,1,RCB,1_3,11,0,-1,4,0,0.4254211,3.6666666666666665,0,-1,0.4254211,0.5745789
3,SRH,1359539,1,RCB,1_4,27,0,-1,16,0,0.51557463,6.75,0,-1,0.51557463,0.48442537
4,SRH,1359539,1,RCB,1_5,33,2,-1,6,2,0.38433486,6.6,2,-1,0.38433486,0.61566514
5,SRH,1359539,1,RCB,1_6,49,2,-1,16,0,0.4841179,8.166666666666666,0,-1,0.4841179,0.51588213
6,SRH,1359539,1,RCB,1_7,56,2,-1,7,0,0.50606376,8.0,0,-1,0.50606376,0.49393624
7,SRH,1359539,1,RCB,1_8,65,2,-1,9,0,0.51964825,8.125,0,-1,0.51964825,0.48035175
8,SRH,1359539,1,RCB,1_9,76,2,-1,11,0,0.5344527,8.444444444444445,0,-1,0.5344527,0.46554732
9,SRH,1359539,1,RCB,1_10,81,2,-1,5,0,0.522473,8.1,0,-1,0.522473,0.47752702
10,SRH,1359539,1,RCB,1_11,94,2,-1,13,0,0.54688793,8.545454545454545,0,-1,0.54688793,0.45311207
11,SRH,1359539,1,RCB,1_12,101,2,-1,7,0,0.541143,8.416666666666666,0,-1,0.541143,0.458857
12,SRH,1359539,1,RCB,1_13,104,3,-1,3,1,0.4920121,8.0,1,-1,0.4920121,0.50798786
13,SRH,1359539,1,RCB,1_14,112,3,-1,8,0,0.5186851,8.0,0,-1,0.5186851,0.4813149
14,SRH,1359539,1,RCB,1_15,133,3,-1,21,0,0.584725,8.866666666666667,0,-1,0.584725,0.41527498
15,SRH,1359539,1,RCB,1_16,141,3,-1,8,0,0.5221136,8.8125,0,-1,0.5221136,0.47788638
16,SRH,1359539,1,RCB,1_17,160,3,-1,19,0,0.6253914,9.411764705882351,0,-1,0.6253914,0.37460858
17,SRH,1359539,1,RCB,1_18,167,3,-1,7,0,0.5544208,9.27777777777778,0,-1,0.5544208,0.44557917
18,SRH,1359539,1,RCB,1_19,182,4,-1,15,1,0.5881856,9.578947368421051,1,-1,0.5881856,0.4118144
19,SRH,1359539,1,RCB,1_20,186,5,-1,4,1,0.5434411,9.3,1,-1,0.5434411,0.45655888
