inning,over,total_runs,player_dismissed,innings_wickets,innings_score,score_target,remaining_target,run_rate,required_run_rate,runrate_diff,is_batting_team,is_toss_winner,team1,team2
1,1,14,0,0,14,-1,-1,14.0,-1.0,-1.0,1,1,RR,CSK
1,2,10,0,0,24,-1,-1,12.0,-1.0,-1.0,1,1,RR,CSK
1,3,18,0,0,42,-1,-1,14.0,-1.0,-1.0,1,1,RR,CSK
1,4,3,0,0,45,-1,-1,11.25,-1.0,-1.0,1,1,RR,CSK
1,5,9,0,0,54,-1,-1,10.8,-1.0,-1.0,1,1,RR,CSK
1,6,10,0,0,64,-1,-1,10.666666666666666,-1.0,-1.0,1,1,RR,CSK
1,7,11,0,0,75,-1,-1,10.714285714285714,-1.0,-1.0,1,1,RR,CSK
1,8,10,0,0,85,-1,-1,10.625,-1.0,-1.0,1,1,RR,CSK
1,9,5,1,1,90,-1,-1,10.0,-1.0,-1.0,1,1,RR,CSK
1,10,10,0,1,100,-1,-1,10.0,-1.0,-1.0,1,1,RR,CSK
1,11,4,0,1,104,-1,-1,9.454545454545457,-1.0,-1.0,1,1,RR,CSK
1,12,9,0,1,113,-1,-1,9.416666666666666,-1.0,-1.0,1,1,RR,CSK
1,13,12,0,1,125,-1,-1,9.615384615384617,-1.0,-1.0,1,1,RR,CSK
1,14,7,2,3,132,-1,-1,9.428571428571429,-1.0,-1.0,1,1,RR,CSK
1,15,7,0,3,139,-1,-1,9.266666666666667,-1.0,-1.0,1,1,RR,CSK
1,16,7,0,3,146,-1,-1,9.125,-1.0,-1.0,1,1,RR,CSK
1,17,7,1,4,153,203,50,9.0,16.666666666666668,-7.666666666666668,1,0,CSK,RR
1,18,13,0,4,166,203,37,9.22222222222222,18.5,-9.27777777777778,1,0,CSK,RR
1,19,16,0,4,182,203,21,9.578947368421051,21.0,-11.421052631578949,1,0,CSK,RR
1,20,20,1,5,202,203,1,10.1,99.0,-88.9,1,0,CSK,RR
2,1,7,0,0,7,203,196,7.0,10.31578947368421,-3.3157894736842106,0,1,RR,CSK
2,2,5,0,0,12,203,191,6.0,10.61111111111111,-4.611111111111111,0,1,RR,CSK
2,3,1,0,0,13,203,190,4.333333333333333,11.176470588235292,-6.8431372549019605,0,1,RR,CSK
2,4,12,0,0,25,203,178,6.25,11.125,-4.875,0,1,RR,CSK
2,5,10,0,0,35,203,168,7.0,11.2,-4.199999999999999,0,1,RR,CSK
2,6,7,1,1,42,203,161,7.0,11.5,-4.5,0,1,RR,CSK
2,7,8,0,1,50,203,153,7.142857142857143,11.76923076923077,-4.626373626373627,0,1,RR,CSK
2,8,9,0,1,59,203,144,7.375,12.0,-4.625,0,1,RR,CSK
2,9,9,0,1,68,203,135,7.555555555555555,12.272727272727272,-4.717171717171718,0,1,RR,CSK
2,10,4,1,2,72,203,131,7.2,13.1,-5.9,0,1,RR,CSK
2,11,1,2,4,73,203,130,6.636363636363637,14.444444444444445,-7.808080808080808,0,1,RR,CSK
2,12,12,0,4,85,203,118,7.083333333333333,14.75,-7.666666666666667,0,1,RR,CSK
2,13,13,0,4,98,203,105,7.538461538461538,15.0,-7.461538461538462,0,1,RR,CSK
2,14,15,0,4,113,203,90,8.071428571428571,15.0,-6.928571428571429,0,1,RR,CSK
2,15,12,1,5,125,203,78,8.333333333333334,15.6,-7.266666666666666,0,1,RR,CSK
2,16,4,0,5,129,203,74,8.0625,18.5,-10.4375,0,1,RR,CSK
2,17,16,0,5,145,203,58,8.529411764705882,19.333333333333332,-10.80392156862745,0,1,RR,CSK
2,18,12,0,5,157,203,46,8.722222222222221,23.0,-14.277777777777779,0,1,RR,CSK
2,19,9,0,5,166,203,37,8.736842105263158,37.0,-28.263157894736842,0,1,RR,CSK
2,20,4,1,6,170,203,33,8.5,99.0,-90.5,0,1,RR,CSK
