inning,over,total_runs,player_dismissed,innings_wickets,innings_score,score_target,remaining_target,run_rate,required_run_rate,runrate_diff,is_batting_team,is_toss_winner,team1,team2
1,1,9,0,0,9,-1,-1,9.0,-1.0,-1.0,1,1,RR,SRH
1,2,17,0,0,26,-1,-1,13.0,-1.0,-1.0,1,1,RR,SRH
1,3,8,0,0,34,-1,-1,11.333333333333334,-1.0,-1.0,1,1,RR,SRH
1,4,11,0,0,45,-1,-1,11.25,-1.0,-1.0,1,1,RR,SRH
1,5,9,1,1,54,-1,-1,10.8,-1.0,-1.0,1,1,RR,SRH
1,6,7,0,1,61,-1,-1,10.166666666666666,-1.0,-1.0,1,1,RR,SRH
1,7,9,0,1,70,-1,-1,10.0,-1.0,-1.0,1,1,RR,SRH
1,8,4,0,1,74,-1,-1,9.25,-1.0,-1.0,1,1,RR,SRH
1,9,21,0,1,95,-1,-1,10.555555555555555,-1.0,-1.0,1,1,RR,SRH
1,10,12,0,1,107,-1,-1,10.7,-1.0,-1.0,1,1,RR,SRH
1,11,8,0,1,115,-1,-1,10.454545454545457,-1.0,-1.0,1,1,RR,SRH
1,12,10,0,1,125,-1,-1,10.416666666666666,-1.0,-1.0,1,1,RR,SRH
1,13,10,0,1,135,-1,-1,10.384615384615383,-1.0,-1.0,1,1,RR,SRH
1,14,7,0,1,142,-1,-1,10.142857142857142,-1.0,-1.0,1,1,RR,SRH
1,15,12,0,1,154,-1,-1,10.266666666666667,-1.0,-1.0,1,1,RR,SRH
1,16,14,0,1,168,-1,-1,10.5,-1.0,-1.0,1,1,RR,SRH
1,17,17,0,1,185,-1,-1,10.882352941176473,-1.0,-1.0,1,1,RR,SRH
1,18,5,0,1,190,215,25,10.555555555555555,12.5,-1.9444444444444446,0,1,RR,SRH
1,19,7,1,2,197,215,18,10.368421052631579,18.0,-7.631578947368421,0,1,RR,SRH
1,20,17,0,2,214,215,1,10.7,99.0,-88.3,0,1,RR,SRH
2,1,4,0,0,4,215,211,4.0,11.105263157894736,-7.105263157894736,0,1,RR,SRH
