innings_score,innings_wickets,current_innings,total_runs,player_dismised,overs,team1,team2,batting_team,toss_decision,toss_winner,score_target,run_rate,remaining_target,required_run_rate,run_rate_diff
161,2,2,13,1,16,MI,RCB,RCB,bowl,RCB,172,10.0625,11,2.75,7.3125
148,1,2,9,1,15,MI,RCB,RCB,bowl,RCB,172,9.866666666666667,24,4.8,5.066666666666667
139,0,2,10,0,14,MI,RCB,RCB,bowl,RCB,172,9.928571428571429,33,5.5,4.428571428571429
129,0,2,16,0,13,MI,RCB,RCB,bowl,RCB,172,9.923076923076923,43,6.142857142857143,3.78021978021978
161,2,2,13,1,16,MI,RCB,RCB,bowl,RCB,172,10.0625,11,2.75,7.3125
148,1,2,9,1,15,MI,RCB,RCB,bowl,RCB,172,9.866666666666667,24,4.8,5.066666666666667
139,0,2,10,0,14,MI,RCB,RCB,bowl,RCB,172,9.928571428571429,33,5.5,4.428571428571429
129,0,2,16,0,13,MI,RCB,RCB,bowl,RCB,172,9.923076923076923,43,6.142857142857143,3.78021978021978
161,2,2,13,1,16,MI,RCB,RCB,bowl,RCB,172,10.0625,11,2.75,7.3125
148,1,2,9,1,15,MI,RCB,RCB,bowl,RCB,172,9.866666666666667,24,4.8,5.066666666666667
139,0,2,10,0,14,MI,RCB,RCB,bowl,RCB,172,9.928571428571429,33,5.5,4.428571428571429
129,0,2,16,0,13,MI,RCB,RCB,bowl,RCB,172,9.923076923076923,43,6.142857142857143,3.78021978021978
161,2,2,13,1,16,MI,RCB,RCB,bowl,RCB,172,10.0625,11,2.75,7.3125
148,1,2,9,1,15,MI,RCB,RCB,bowl,RCB,172,9.866666666666667,24,4.8,5.066666666666667
139,0,2,10,0,14,MI,RCB,RCB,bowl,RCB,172,9.928571428571429,33,5.5,4.428571428571429
129,0,2,16,0,13,MI,RCB,RCB,bowl,RCB,172,9.923076923076923,43,6.142857142857143,3.78021978021978
161,2,2,13,1,16,MI,RCB,RCB,bowl,RCB,172,10.0625,11,2.75,7.3125
148,1,2,9,1,15,MI,RCB,RCB,bowl,RCB,172,9.866666666666667,24,4.8,5.066666666666667
139,0,2,10,0,14,MI,RCB,RCB,bowl,RCB,172,9.928571428571429,33,5.5,4.428571428571429
129,0,2,16,0,13,MI,RCB,RCB,bowl,RCB,172,9.923076923076923,43,6.142857142857143,3.78021978021978
161,2,2,13,1,16,MI,RCB,RCB,bowl,RCB,172,10.0625,11,2.75,7.3125
148,1,2,9,1,15,MI,RCB,RCB,bowl,RCB,172,9.866666666666667,24,4.8,5.066666666666667
139,0,2,10,0,14,MI,RCB,RCB,bowl,RCB,172,9.928571428571429,33,5.5,4.428571428571429
129,0,2,16,0,13,MI,RCB,RCB,bowl,RCB,172,9.923076923076923,43,6.142857142857143,3.78021978021978
161,2,2,13,1,16,MI,RCB,RCB,bowl,RCB,172,10.0625,11,2.75,7.3125
148,1,2,9,1,15,MI,RCB,RCB,bowl,RCB,172,9.866666666666667,24,4.8,5.066666666666667
139,0,2,10,0,14,MI,RCB,RCB,bowl,RCB,172,9.928571428571429,33,5.5,4.428571428571429
129,0,2,16,0,13,MI,RCB,RCB,bowl,RCB,172,9.923076923076923,43,6.142857142857143,3.78021978021978
